"","Year","Police Region","Local Government Area","Incidents Recorded"
"520",2015,"Justice Institutions and Immigration Facilities","Total",777
"521",2015,"Unincorporated Vic","Unincorporated Vic",93
"522",2015,"Unincorporated Vic","Total",93
"523",2014,"1 North West Metro","Banyule",6807
"524",2014,"1 North West Metro","Brimbank",13725
"525",2014,"1 North West Metro","Darebin",10976
"526",2014,"1 North West Metro","Hobsons Bay",5557
"527",2014,"1 North West Metro","Hume",13223
"528",2014,"1 North West Metro","Maribyrnong",6576
"529",2014,"1 North West Metro","Melbourne",23725
"530",2014,"1 North West Metro","Melton",7530
"531",2014,"1 North West Metro","Moonee Valley",6446
"532",2014,"1 North West Metro","Moreland",10295
"533",2014,"1 North West Metro","Nillumbik",1585
"534",2014,"1 North West Metro","Whittlesea",10239
"535",2014,"1 North West Metro","Wyndham",10157
"536",2014,"1 North West Metro","Yarra",9958
"537",2014,"1 North West Metro","Total",136799
"538",2014,"2 Eastern","Alpine",278
"539",2014,"2 Eastern","Bass Coast",1996
"540",2014,"2 Eastern","Baw Baw",2278
"541",2014,"2 Eastern","Benalla",819
"542",2014,"2 Eastern","Boroondara",5686
"543",2014,"2 Eastern","East Gippsland",2921
"544",2014,"2 Eastern","Greater Shepparton",5629
"545",2014,"2 Eastern","Indigo",329
"546",2014,"2 Eastern","Knox",7160
"547",2014,"2 Eastern","Latrobe",7815
"548",2014,"2 Eastern","Manningham",3130
"549",2014,"2 Eastern","Mansfield",388
"550",2014,"2 Eastern","Maroondah",5872
"551",2014,"2 Eastern","Mitchell",2145
"552",2014,"2 Eastern","Moira",1083
"553",2014,"2 Eastern","Monash",6885
"554",2014,"2 Eastern","Murrindindi",517
"555",2014,"2 Eastern","South Gippsland",901
"556",2014,"2 Eastern","Strathbogie",340
"557",2014,"2 Eastern","Towong",148
"558",2014,"2 Eastern","Wangaratta",1689
"559",2014,"2 Eastern","Wellington",2900
"560",2014,"2 Eastern","Whitehorse",5700
"561",2014,"2 Eastern","Wodonga",2431
"562",2014,"2 Eastern","Yarra Ranges",5353
"563",2014,"2 Eastern","Total",74393
"564",2014,"3 Southern Metro","Bayside",3231
"565",2014,"3 Southern Metro","Cardinia",3862
